year,from_share_score_ge_2,from_share_score_ge_1,from_share_score_eq_3,to_share_score_ge_2,to_share_score_ge_1,to_share_score_eq_3,delta_share_score_ge_2,delta_share_score_ge_1,delta_share_score_eq_3
2014,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2015,0.2222222222222222,0.5,0.0,0.2222222222222222,0.5,0.0,0.0,0.0,0.0
2016,0.21875,0.5,0.03125,0.25,0.53125,0.03125,0.03125,0.03125,0.0
2017,0.0357142857142857,0.4642857142857143,0.0,0.07142857142857142,0.5,0.0,0.035714285714285726,0.0357142857142857,0.0
2018,0.09375,0.53125,0.0,0.125,0.46875,0.0,0.03125,-0.0625,0.0
2019,0.1538461538461538,0.5897435897435898,0.0,0.10256410256410256,0.5641025641025641,0.0,-0.05128205128205124,-0.02564102564102566,0.0
2020,0.0666666666666666,0.4222222222222222,0.0,0.06666666666666667,0.4,0.0,6.938893903907228e-17,-0.0222222222222222,0.0
2021,0.1343283582089552,0.4328358208955223,0.0,0.13432835820895522,0.47761194029850745,0.0,2.7755575615628914e-17,0.04477611940298515,0.0
2022,0.1956521739130435,0.6086956521739131,0.0217391304347826,0.1956521739130435,0.5652173913043478,0.021739130434782608,0.0,-0.0434782608695653,6.938893903907228e-18
2023,0.0337078651685393,0.3932584269662921,0.0,0.02247191011235955,0.3651685393258427,0.0,-0.011235955056179747,-0.028089887640449396,0.0
2024,0.074074074074074,0.4814814814814814,0.0,0.07407407407407407,0.4444444444444444,0.0,6.938893903907228e-17,-0.03703703703703698,0.0
2025,0.2156862745098039,0.6078431372549019,0.0,0.17647058823529413,0.6078431372549019,0.0,-0.039215686274509776,0.0,0.0
